"gene_symbol","L50","L51","L52","L53","L55","L56","L57","L14","L15","L16","L17","L11","L12","L13","L18","L19","L21","L20","L23","L22","L25","L24","L27","L26","L29","L28","L43","L42","L41","L40","L47","L46","L45","L44","L49","L48","L06","L04","L05","L02","L03","L01","L09","L36","L37","L34","L35","L32","L33","L30","L39","baseMean_E","log2FoldChange_E2","lfcSE_E2","stat_E2","pvalue_E2","padj_E2","DEG_in_E2","expression_with_age_in_E2","baseMean_L1","log2FoldChange_L1","lfcSE_L1","stat_L1","pvalue_L1","padj_L1","DEG_in_L1","expression_with_age_in_L1","baseMean_L2","log2FoldChange_L2","lfcSE_L2","stat_L2","pvalue_L2","padj_L2","DEG_in_L2","expression_with_age_in_L2","gene_name"
"Def",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensin precursor"
"ENSBTSG00005019549",595.164555560598,714.105290436392,610.399109103317,582.419183035192,659.000553511473,655.479599557107,800.109384314649,797.572185032383,596.780144850613,762.02699187723,953.064379534379,872.688431094901,710.866097024559,703.567040953983,632.274748471425,816.096163461254,815.508972330575,834.084499378698,754.482387107985,863.491742875139,594.6874092787,791.872319846637,530.680504294851,759.461058010216,588.479274657719,387.305931335591,688.992263788045,790.208102209354,701.310911576113,506.641497825028,835.992952009689,787.674497418035,685.477756856154,734.86948240591,696.774937175666,770.631181133628,811.27571073641,783.492327226451,649.536703182283,527.896100960657,674.980979659402,606.994582381155,616.094390862821,613.120342353677,670.974451292903,570.144646040107,504.131591602496,654.844485201198,631.547523328905,701.142569855055,642.8835539875,690.966696039298,0.104574153139383,0.139622800722044,0.748976188692603,0.453871557259641,0.907126238439413,"NO","NA",690.966696039298,0.0722728188585755,0.115412157186095,0.626214955345132,0.531173959123627,1,"NO","NA",690.966696039298,0.13251604425503,0.177088911135992,0.748302326808408,0.454277821359439,0.881937290675503,"NO","NA","uncharacterized ENSBTSG00005019549"
"ENSBTSG00005019550",9.18196001587032,101.418150877242,46.5100129752702,38.6400807040849,30.6825005514032,69.6361431223081,26.8306650556879,17.4593512494782,52.0749134864536,55.4534888844292,70.1539434357946,32.0416207729653,25.793969192283,25.6059390080063,12.5900044506934,18.1034424966243,39.0646933739956,15.2868105447078,93.6524591881337,40.8071881191068,15.0503637862386,37.8972953948325,29.259859628765,21.6809050086157,37.0013098307789,38.4990216662529,53.7361060011987,36.9093851122717,44.2383936758418,37.8656468210942,28.994319636555,47.1947270857103,103.81655181019,26.5339105955625,98.6256343594093,17.0510793978727,42.482459677785,28.8899193219643,40.5906948471505,19.0277111037925,21.6120097118489,115.44876219998,30.1853742017914,35.5577347846389,48.4850745819403,33.84011050272,28.94359066215,71.0868351390795,24.5460970841578,25.3148194145135,18.342918471894,40.7783521376693,0.741344055527557,0.46472523833907,1.59523088992783,0.110660613518411,0.640337035721728,"NO","NA",40.7783521376693,-0.382052412266649,0.390734323048575,-0.977780526895646,0.328182884153793,1,"NO","NA",40.7783521376693,-0.988054696775854,0.594673076002304,-1.66150904866597,0.0966112531173832,0.58088575321439,"NO","NA","uncharacterized ENSBTSG00005019550"
"ENSBTSG00005019551",373.047772952197,472.130876543818,462.949505539136,612.37449942116,444.533435821095,431.901877332537,419.843833314468,718.212070998487,524.279006465941,467.329303024038,484.496634579308,426.91207623951,606.201669407869,641.493207880727,445.311552692393,478.906749437213,474.785455163674,486.693047710947,516.458891932294,456.526517484065,607.686279555715,498.088784949274,400.847666014576,490.798902922943,554.593666048252,540.361012479716,484.226960608422,403.637171215132,588.748521835668,364.777494777034,571.234432128955,453.790712222698,379.613059438738,453.104802306734,418.337558396944,507.440456953716,484.511519128527,594.430329658908,465.410638211163,586.347539580215,514.897624870537,509.557660026418,505.049981752922,459.559846371856,513.077172799685,472.538449801413,496.26544880176,468.102640367239,448.565275376736,372.535815331482,410.78841863604,489.47674169628,-0.129683516322455,0.139153799551023,-0.931943768268465,0.351365586635159,0.862540559188278,"NO","NA",489.47674169628,0.0160590992269845,0.115428953202995,0.13912539948918,0.889351057516429,1,"NO","NA",489.47674169628,-0.067831497035297,0.176862557508653,-0.383526609536778,0.70132934426006,0.964186680012039,"NO","NA","uncharacterized ENSBTSG00005019551"
"ENSBTSG00005019552",689.099001565706,783.323822723112,459.662636932463,507.491467080288,473.336306759079,364.645970898822,652.917827192401,910.650711668058,312.054479309163,713.966159165347,440.801790757634,523.194951721803,498.303360561296,387.895872693989,476.803740307421,732.664748009647,626.714896084649,782.402944083603,863.127173183918,439.436548583112,509.662239902975,669.888243352917,513.695170650319,880.111060943747,433.757960760638,255.872069045758,747.207109228764,566.888932920861,1225.40157841655,747.802736087265,370.740108910194,385.497191763876,558.54673246109,409.989801121672,993.504308412602,674.982953331806,716.156967593419,577.964674877568,561.328835145933,761.646927474846,529.064259955908,569.604921011543,577.000370423834,1549.14363748442,525.844996964059,560.828599285489,431.392889435646,466.19540689513,1084.95043901326,1063.98258168864,694.941322574932,632.393910517984,-0.526002800257071,0.215240855061261,-2.44378698508405,0.0145340050736321,0.357066789073415,"NO","NA",632.393910517984,0.0357900671648182,0.178774834406017,0.200196337945055,0.841327031099642,1,"NO","NA",632.393910517984,1.21468961315481,0.273122425844337,4.4474180741464,8.6908588366908e-06,0.0292990578531939,"YES","up-regulated","uncharacterized ENSBTSG00005019552"
"ENSBTSG00005019554",1855.05351192785,1530.35048457949,1046.02986975097,932.95309234333,1098.53769572083,674.243711310054,1162.34537163574,1011.49236627293,1028.95132097536,1131.60816303948,701.759456131961,1216.03727007302,1312.54119903462,1284.78706335481,892.123583417805,1403.87179381724,901.698094231281,1030.25259348603,1137.78807594938,1394.58356503857,788.878199218751,1000.72856188623,972.65650042534,768.317948047687,1362.79516440592,524.347476365212,1049.77335510408,1184.1570041194,1027.7271306162,1184.56924519542,1637.61142269715,1310.20918636908,1834.42236378297,1111.10736763389,920.598892995387,1311.82028634878,1187.7326794986,816.945791994319,1409.3581434887,1710.07813796278,1240.27166875651,930.957816921871,561.838291738777,748.464241510488,620.925204712836,1304.43277434445,778.230409421031,798.270021200419,1273.98243027202,947.096423842117,1306.01714852263,1105.32018767627,-0.00672525549607145,0.255452838764107,-0.0263267988275588,0.97899667994285,0.998577346958808,"NO","NA",1105.32018767627,0.279113713876922,0.211083663240052,1.32228951114755,0.186071764134786,1,"NO","NA",1105.32018767627,0.135018447065393,0.322398397731143,0.418793790588217,0.675366843270411,0.959202761356422,"NO","NA","uncharacterized ENSBTSG00005019554"
"ENSBTSG00005019556",549.192718647592,645.263920561981,624.008901230967,791.576414801097,547.397885210039,406.960485538882,569.72872662069,892.125641665129,601.698215407762,499.578456842252,505.564847001658,557.690003071835,508.881165604022,460.444703170927,594.591975786996,525.090825294228,663.441579870126,572.068915714665,559.686910201967,660.283540681332,729.560078445319,706.737258644498,629.686723802711,621.963267419583,686.527927517639,522.543711603861,641.867623973087,689.010931945995,729.191598726483,431.094392940551,616.166136571503,525.052618722899,517.501699079661,533.151729516359,580.797890880945,770.667420706732,480.311272930774,864.891829638609,513.872308538815,485.948603133229,620.615082460149,437.908175516377,600.138233691887,654.99378306904,620.905305615267,676.374730528333,707.480873375403,553.478860283363,763.700004376688,645.951162670546,701.392075068827,607.740375378809,-0.158143642505308,0.156518119226068,-1.0103855278052,0.312310618785467,0.842910814854297,"NO","NA",607.740375378809,0.0430622555418654,0.129569953692818,0.332347541344012,0.739626845227134,1,"NO","NA",607.740375378809,0.183783150038608,0.198838235138541,0.924284757961952,0.355338076382354,0.838595372771447,"NO","NA","uncharacterized ENSBTSG00005019556"
"ENSBTSG00005019557",3542.97815161814,5003.40633468219,4595.33597552589,5372.10151004698,7318.35903546477,4149.51076314335,4624.29123188982,7270.2976308756,4729.36491683695,3674.65432822963,3681.99228021127,4265.73960791387,5813.25022228825,5101.63646019275,5673.20424740235,3137.53444271194,4908.52621740954,5368.68706031783,4099.53055779747,4920.36778840627,8511.97702663588,6412.23143808552,5989.09931590364,5679.98751544449,4863.66863364646,6793.8693660118,5544.45256797684,6194.31416593377,4192.46732203646,4994.19117262494,7015.14873248543,4521.64955989933,3012.93639165549,4793.65001012342,4503.68592377882,5754.91202043416,4855.94370544677,6919.98233971251,4816.41845563811,7262.15819564759,6581.6462478668,4091.04817338739,3538.36028225376,4079.51961199987,4526.97765709543,5130.84141732755,5236.6271161848,4222.49519490239,4231.95635003484,3775.20790873852,5406.94510071807,5111.86544475678,0.0457337559932293,0.207922985350949,0.219955268129861,0.825905992391721,0.978120173251523,"NO","NA",5111.86544475678,0.0315807922042838,0.171708907046711,0.183920524260822,0.854075803431548,1,"NO","NA",5111.86544475678,-0.00807908188734045,0.26238695028203,-0.0307907153105615,0.975436445019626,1,"NO","NA","uncharacterized ENSBTSG00005019557"
"ENSBTSG00005019560",1597.35901492045,1406.2241713026,1760.49414147825,1739.59350413614,1530.68684509159,1868.70191407001,1827.37863733698,1134.2491379159,1480.47542840899,1759.8023939562,1999.43158986683,1625.44932889008,1913.78157720281,1931.05565440553,1962.08774493105,2004.0207994865,1451.91139261777,1919.87191773184,1469.74451267852,1835.54441446111,1626.05024262014,1530.57273998488,1833.19508708385,1481.58586166019,1642.09610706597,2297.21582657417,1477.76951031528,1716.7341119442,1280.25051311246,1910.83680222624,1542.38749111002,1945.48518330034,1405.77084016261,2065.71838835729,1730.29870651167,1802.99553514743,1530.05264028142,1562.72289667638,1351.02359005842,1295.86732302812,1837.25220015923,1784.85738602578,1743.07448312618,1190.0026522439,1887.50266845552,1682.38558130296,1696.66991990722,1682.81394490903,1281.36012739977,1237.36109175991,1703.34327754096,1666.13954609688,0.14580469882895,0.102805068917602,1.41826371368723,0.156113786463975,0.708236738685039,"NO","NA",1666.13954609688,0.000615173198145462,0.0845759023661757,0.00727362263877526,0.994196539968036,1,"NO","NA",1666.13954609688,-0.111412885665212,0.129839087006638,-0.858084327560898,0.390845900753517,0.85169016114755,"NO","NA","uncharacterized ENSBTSG00005019560"
"ENSBTSG00005019562",12.8224430197773,21.2570465861447,36.6308435398673,31.4378443045067,9.47387473492581,18.2508232936137,2.75158994707059,40.9899033474924,8.7775928809522,1.4234897806746,56.2474931243123,10.8451848514572,5.2534368103733,2.62202853602591,3.72282055179475,1.13172043632182,1.97204666256127,18.074690383621,23.6177227842558,11.2088373977702,22.6093076132672,8.20920494820903,3.72239739633171,2.87390714233309,7.99114582067593,0,8.04167934066852,6.15021290846613,24.2908655840397,5.68250472084283,26.4925332345491,6.07729043552128,20.685158236053,13.3006806469751,10.4287090725884,31.57263091245,3.42147867126072,106.888820198481,34.1557852785474,5.23846356233828,18.7391031612184,8.58974787615762,9.69893900724601,0.865983020656202,35.0837518022155,15.7071287304932,12.6241915611829,13.7997559970094,24.5352339576489,1.54203535192986,11.8284355793069,16.0658532302389,-0.467035027674612,0.842880472261586,-0.55409401812511,0.579514503761578,0.927191382047972,"NO","NA",16.0658532302389,0.458544808841034,0.689968042574984,0.664588474459961,0.506313743045428,1,"NO","NA",16.0658532302389,-2.03957608628186,1.08407008930207,-1.88140610686432,0.0599166967810415,0.511573489417155,"NO","NA","uncharacterized ENSBTSG00005019562"
